session,video_name,folder_path,proposed_label,true_label,flag,duration_s,fps,n_frames,avg_people,max_people
live_output_10_1,20251001_125855_id3_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_1\enter,enter,,,,,,,
live_output_10_1,20251001_125917_id6_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_1\enter,enter,,,,,,,
live_output_10_1,20251001_125947_id7_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_1\enter,enter,,,,,,,
live_output_10_1,20251001_130022_id8_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_1\enter,enter,,,,,,,
live_output_10_2,20251001_130119_id13_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,12.31,13.0,160.0,1.64,2.0
live_output_10_2,20251001_130147_id17_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,26.5,12.0,318.0,1.3,3.0
live_output_10_2,20251001_130148_id18_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,6.85,13.0,89.0,1.87,2.0
live_output_10_2,20251001_130218_id25_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,1.73,11.0,19.0,0.84,2.0
live_output_10_2,20251001_130219_id26_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,5.7,10.0,57.0,0.82,2.0
live_output_10_2,20251001_130602_id34_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,2.83,12.0,34.0,0.68,1.0
live_output_10_2,20251001_130801_id46_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,134.67,12.0,1616.0,1.97,3.0
live_output_10_2,20251001_130805_id48_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,4.6,10.0,46.0,1.8,3.0
live_output_10_2,20251001_130812_id49_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,199.09,11.0,2190.0,1.7,3.0
live_output_10_2,20251001_130921_id50_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,3.7,10.0,37.0,2.0,2.0
live_output_10_2,20251001_130950_id68_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,1.1,10.0,11.0,2.0,2.0
live_output_10_2,20251001_131111_id81_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,3.7,10.0,37.0,1.65,2.0
live_output_10_2,20251001_131401_id100_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,4.5,10.0,45.0,2.07,3.0
live_output_10_2,20251001_131417_id105_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,119.9,10.0,1199.0,2.07,4.0
live_output_10_2,20251001_131420_id107_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,118.2,10.0,1182.0,2.05,4.0
live_output_10_2,20251001_131450_id108_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,4.1,10.0,41.0,3.12,4.0
live_output_10_2,20251001_133356_id147_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,4.15,13.0,54.0,0.8,1.0
live_output_10_2,20251001_135812_id150_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,4.23,13.0,55.0,0.78,1.0
live_output_10_2,20251001_135840_id154_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,2.92,13.0,38.0,0.68,1.0
live_output_10_2,20251001_135923_id162_enter.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\enter,enter,,,2.92,13.0,38.0,0.71,1.0
live_output_10_2,20251001_125847_id2_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,2.92,13.0,38.0,0.76,2.0
live_output_10_2,20251001_130112_id11_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,3.38,13.0,44.0,0.77,1.0
live_output_10_2,20251001_130123_id14_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,11.0,11.0,121.0,1.81,2.0
live_output_10_2,20251001_130155_id22_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,1.2,10.0,12.0,1.58,3.0
live_output_10_2,20251001_130551_id31_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,5.75,12.0,69.0,0.88,2.0
live_output_10_2,20251001_130610_id36_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,2.54,13.0,33.0,1.7,4.0
live_output_10_2,20251001_130611_id38_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,3.69,13.0,48.0,1.23,2.0
live_output_10_2,20251001_130617_id44_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,5.08,12.0,61.0,0.79,1.0
live_output_10_2,20251001_130802_id47_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,2.5,12.0,30.0,1.9,2.0
live_output_10_2,20251001_130943_id63_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,1.8,10.0,18.0,2.0,2.0
live_output_10_2,20251001_131203_id85_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,11.83,12.0,142.0,0.93,1.0
live_output_10_2,20251001_131220_id86_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,85.92,12.0,1031.0,1.98,4.0
live_output_10_2,20251001_131225_id92_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,96.64,11.0,1063.0,1.98,4.0
live_output_10_2,20251001_131352_id97_pass.mp4,C:/Users/hanna/Documents/Thesis/data\live_output_10_2\pass,pass,,,4.3,10.0,43.0,2.77,4.0
